id,created_on,operation,property_type,neighbourhood,lat,lon,price,surface_total_in_m2,surface_covered_in_m2,floor,rooms,expenses
96e08e2514edf914a858d5627acbf98464602b2a,2017-09-01,sell,apartment,San Nicolás,-34.602998,-58.372811,160000,,34,,2,
5dd7e7887ec317894fd6ae473ffcf6bbc51db0bd,2017-09-01,sell,apartment,Palermo Hollywood,-34.588209,-58.438823,175000,,48,,2,
b10cd0d8416c08b01879c7945cfe31d021fb8052,2017-09-01,sell,PH,Villa Devoto,-34.607798,-58.505502,180000,65,65,,4,
d8004421920406c2d6a42fb63f398e5f3d91d17b,2017-09-01,sell,PH,Paternal,-34.605202,-58.465912,195000,109,109,,4,
b6695c4cb1a1fa0b45cdc37626f40e8b4bc53982,2017-09-01,sell,PH,Villa Urquiza,-34.577007,-58.48023,299800,,,,5,
613c9e540d2c8dd2dfc3440df918144560a6fe63,2017-09-02,sell,apartment,Flores,-34.6325576,-58.4576955,275000,115,110,,5,5000
b2619faa6a1660dea4678023f24ecab0085a5d2c,2017-09-02,sell,apartment,Belgrano,-34.5755979792,-58.4640076296,950000,290,248,,,25698
e695ed0df0af884cdf9dd687ad93c1638091cddb,2017-09-02,sell,house,Pompeya,-34.6504996,-58.4235574,175000,118,,,3,
708c4379429485e4e34a6cec8ea71d5cce2c5574,2017-09-02,sell,apartment,Almagro,-34.6007415,-58.4204915,119500,51,46,,3,2300
81fdcac29a9ac37246bba613b0dd96ca88b08571,2017-09-02,sell,apartment,Las Cañitas,-34.5708701,-58.4331449,440000,80,76,,3,
2c0477f15aae1ecef12d704aef0ad0c1a1e2a6d1,2017-09-02,sell,apartment,Palermo Hollywood,-34.5856822,-58.4452906,235000,45,45,,2,
450ebce5e1d817ecf95a2bfd17c9deacacc4e1a4,2017-09-02,sell,apartment,Palermo Soho,,,398000,88,82,,3,
2bcf1c29623fbe3d32ad56df77330f162320da9b,2017-09-02,sell,apartment,Caballito,-34.6209278,-58.4458736,398000,250,180,,5,
cddda7707f572f5adce716901cb039a0e7bc45de,2017-09-02,sell,apartment,Las Cañitas,-34.5708701,-58.4331449,570000,98,95,,4,
